Category,Feature,Importance
infection_count:None:None:None,MLLT11,0.8895
infection_count:None:None:None,CCK,0.1078
infection_count:None:None:None,CD81,0.0014
infection_count:None:None:None,TPM1,0.0007
infection_count:None:None:None,1810037I17RIK,0.0005
infection_count:replicate_1:None:None,PCSK1N,0.8342
infection_count:replicate_1:None:None,PPP2R2B,0.0914
infection_count:replicate_1:None:None,PLPPR4,0.0194
infection_count:replicate_1:None:None,MEF2C,0.0106
infection_count:replicate_1:None:None,CALY,0.0077
infection_count:replicate_1:None:None,SLC1A2,0.0055
infection_count:replicate_1:None:None,CALM2,0.0052
infection_count:replicate_1:None:None,SELENOM,0.0046
infection_count:replicate_1:None:None,CSMD1,0.0045
infection_count:replicate_1:None:None,STMN2,0.0033
infection_count:replicate_1:None:None,KCNMA1,0.0025
infection_count:replicate_1:None:None,PRKCB,0.0023
infection_count:replicate_1:None:None,PTPRK,0.0022
infection_count:replicate_1:None:None,PRKCE,0.0021
infection_count:replicate_1:None:None,SERP2,0.0016
infection_count:replicate_1:None:None,NRGN,0.0014
infection_count:replicate_1:None:None,STMN3,0.0011
infection_count:replicate_1:None:None,LINGO2,0.0005
infection_count:replicate_1:Excitatory:None,TUBA1B,0.446
infection_count:replicate_1:Excitatory:None,TTC9B,0.1187
infection_count:replicate_1:Excitatory:None,NUDT4,0.0851
infection_count:replicate_1:Excitatory:None,MLLT11,0.0783
infection_count:replicate_1:Excitatory:None,CKB,0.04
infection_count:replicate_1:Excitatory:None,CAMK2N2,0.0386
infection_count:replicate_1:Excitatory:None,DNAJC15,0.0206
infection_count:replicate_1:Excitatory:None,GNG5,0.0136
infection_count:replicate_1:Excitatory:None,RAMP1,0.0106
infection_count:replicate_1:Excitatory:None,FBXO41,0.0094
infection_count:replicate_1:Excitatory:None,RASGRP1,0.0087
infection_count:replicate_1:Excitatory:None,TUBA4A,0.007
infection_count:replicate_1:Excitatory:None,HSPB3,0.007
infection_count:replicate_1:Excitatory:None,NECTIN3,0.0061
infection_count:replicate_1:Excitatory:None,VSTM2L,0.006
infection_count:replicate_1:Excitatory:None,GFRA4,0.0058
infection_count:replicate_1:Excitatory:None,PAK6,0.0057
infection_count:replicate_1:Excitatory:None,PPP1R18,0.0057
infection_count:replicate_1:Excitatory:None,TMEM100,0.0055
infection_count:replicate_1:Excitatory:None,MYO10,0.0055
infection_count:replicate_1:Excitatory:None,BEGAIN,0.0054
infection_count:replicate_1:Excitatory:None,A830029E22RIK,0.0053
infection_count:replicate_1:Excitatory:None,RELL2,0.0052
infection_count:replicate_1:Excitatory:None,TMEM47,0.0051
infection_count:replicate_1:Excitatory:None,TPPP3,0.005
infection_count:replicate_1:Excitatory:None,FABP7,0.005
infection_count:replicate_1:Excitatory:None,GM20754,0.0048
infection_count:replicate_1:Excitatory:None,FAM163B,0.0047
infection_count:replicate_1:Excitatory:None,DNAI1,0.0046
infection_count:replicate_1:Excitatory:None,NCAN,0.0044
infection_count:replicate_1:Excitatory:None,CDH9,0.0042
infection_count:replicate_1:Excitatory:None,MAPK11,0.0042
infection_count:replicate_1:Excitatory:None,PRICKLE1,0.0042
infection_count:replicate_1:Excitatory:None,D5ERTD615E,0.004
infection_count:replicate_1:Excitatory:None,GM25431,0.0038
infection_count:replicate_1:Excitatory:None,PPFIA2,0.0036
infection_count:replicate_1:Excitatory:None,RGS17,0.0027
infection_count:replicate_1:Inhibitory:None,CALM2,0.7917
infection_count:replicate_1:Inhibitory:None,CKB,0.0717
infection_count:replicate_1:Inhibitory:None,CNTNAP2,0.0529
infection_count:replicate_1:Inhibitory:None,MYO16,0.052
infection_count:replicate_1:Inhibitory:None,CSPG5,0.0254
infection_count:replicate_1:Inhibitory:None,LRRTM4,0.0063
infection_count:replicate_2:None:None,PCSK1N,0.5471
infection_count:replicate_2:None:None,SNCA,0.2288
infection_count:replicate_2:None:None,CALM2,0.1608
infection_count:replicate_2:None:None,NRGN,0.0175
infection_count:replicate_2:None:None,PLPPR4,0.0156
infection_count:replicate_2:None:None,ATP1B1,0.0126
infection_count:replicate_2:None:None,CX3CL1,0.0051
infection_count:replicate_2:None:None,HMGN2,0.0045
infection_count:replicate_2:None:None,YWHAH,0.0034
infection_count:replicate_2:None:None,RPRML,0.0026
infection_count:replicate_2:None:None,CALY,0.0021
infection_count:replicate_2:Excitatory:None,MLLT11,0.4201
infection_count:replicate_2:Excitatory:None,TTC9B,0.413
infection_count:replicate_2:Excitatory:None,MT3,0.0281
infection_count:replicate_2:Excitatory:None,DBPHT2,0.0177
infection_count:replicate_2:Excitatory:None,TBC1D4,0.014
infection_count:replicate_2:Excitatory:None,FABP7,0.0093
infection_count:replicate_2:Excitatory:None,ID2,0.0084
infection_count:replicate_2:Excitatory:None,ADCYAP1,0.0073
infection_count:replicate_2:Excitatory:None,HS3ST4,0.0063
infection_count:replicate_2:Excitatory:None,GSTM1,0.006
infection_count:replicate_2:Excitatory:None,GNAI1,0.0057
infection_count:replicate_2:Excitatory:None,GNG13,0.0055
infection_count:replicate_2:Excitatory:None,CACNG4,0.0054
infection_count:replicate_2:Excitatory:None,NDRG2,0.0049
infection_count:replicate_2:Excitatory:None,VGF,0.0048
infection_count:replicate_2:Excitatory:None,H2BC4,0.0043
infection_count:replicate_2:Excitatory:None,GM16083,0.0042
infection_count:replicate_2:Excitatory:None,GM19410,0.0042
infection_count:replicate_2:Excitatory:None,2900027M19RIK,0.0038
infection_count:replicate_2:Excitatory:None,TGFB2,0.0037
infection_count:replicate_2:Excitatory:None,JUNB,0.0036
infection_count:replicate_2:Excitatory:None,ABLIM3,0.0036
infection_count:replicate_2:Excitatory:None,POU6F2,0.0032
infection_count:replicate_2:Excitatory:None,A830031A19RIK,0.0029
infection_count:replicate_2:Excitatory:None,SLITRK4,0.0028
infection_count:replicate_2:Excitatory:None,SLITRK1,0.0028
infection_count:replicate_2:Excitatory:None,SV2A,0.0022
infection_count:replicate_2:Excitatory:None,5830417I10RIK,0.0019
infection_count:replicate_2:Inhibitory:None,PCSK1N,0.3484
infection_count:replicate_2:Inhibitory:None,CAMK2B,0.2587
infection_count:replicate_2:Inhibitory:None,CHCHD10,0.1607
infection_count:replicate_2:Inhibitory:None,PLPPR4,0.1452
infection_count:replicate_2:Inhibitory:None,CHL1,0.0308
infection_count:replicate_2:Inhibitory:None,CALM2,0.0307
infection_count:replicate_2:Inhibitory:None,NRGN,0.0096
infection_count:replicate_2:Inhibitory:None,SNAP25,0.0069
infection_count:replicate_2:Inhibitory:None,ATP2B1,0.0051
infection_count:replicate_2:Inhibitory:None,RPRML,0.0039
infection_count:replicate_3:None:None,PPP2R2C,0.4711
infection_count:replicate_3:None:None,KIF5C,0.2567
infection_count:replicate_3:None:None,SYP,0.087
infection_count:replicate_3:None:None,GAP43,0.0428
infection_count:replicate_3:None:None,NRGN,0.021
infection_count:replicate_3:None:None,CCK,0.0188
infection_count:replicate_3:None:None,ASNS,0.0158
infection_count:replicate_3:None:None,PRDX1,0.0148
infection_count:replicate_3:None:None,CAMKV,0.014
infection_count:replicate_3:None:None,MT2,0.0093
infection_count:replicate_3:None:None,GLP2R,0.0074
infection_count:replicate_3:None:None,LIN7B,0.007
infection_count:replicate_3:None:None,MEF2C,0.0066
infection_count:replicate_3:None:None,STMN2,0.0061
infection_count:replicate_3:None:None,ADCY1,0.0047
infection_count:replicate_3:None:None,IGFBP5,0.0036
infection_count:replicate_3:None:None,CST3,0.0036
infection_count:replicate_3:None:None,PCP4,0.0029
infection_count:replicate_3:None:None,ADD3,0.002
infection_count:replicate_3:None:None,PTPRN,0.0016
infection_count:replicate_3:None:None,FILIP1L,0.0012
infection_count:replicate_3:None:None,SYT1,0.0011
infection_count:replicate_3:None:None,STMN4,0.001
infection_count:replicate_3:Excitatory:None,TUBB4B,0.3724
infection_count:replicate_3:Excitatory:None,TUBA1B,0.2428
infection_count:replicate_3:Excitatory:None,CDK5R2,0.2193
infection_count:replicate_3:Excitatory:None,NEFM,0.0499
infection_count:replicate_3:Excitatory:None,CHCHD10,0.0204
infection_count:replicate_3:Excitatory:None,H2BC4,0.0204
infection_count:replicate_3:Excitatory:None,HPCAL4,0.0196
infection_count:replicate_3:Excitatory:None,GNG13,0.014
infection_count:replicate_3:Excitatory:None,EBF1,0.0093
infection_count:replicate_3:Excitatory:None,ATF5,0.008
infection_count:replicate_3:Excitatory:None,PAQR9,0.0067
infection_count:replicate_3:Excitatory:None,NRIP3,0.0056
infection_count:replicate_3:Excitatory:None,IGFBPL1,0.0047
infection_count:replicate_3:Excitatory:None,CCN3,0.0039
infection_count:replicate_3:Excitatory:None,LRRN1,0.0011
infection_count:replicate_3:Excitatory:None,SOSTDC1,0.0009
infection_count:replicate_3:Excitatory:None,MAGEE2,0.0009
infection_count:replicate_3:Inhibitory:None,CALM2,0.4398
infection_count:replicate_3:Inhibitory:None,PCSK1N,0.1426
infection_count:replicate_3:Inhibitory:None,GRIN2B,0.1258
infection_count:replicate_3:Inhibitory:None,MT3,0.1103
infection_count:replicate_3:Inhibitory:None,CKB,0.0553
infection_count:replicate_3:Inhibitory:None,NDRG4,0.0399
infection_count:replicate_3:Inhibitory:None,CRYAB,0.0124
infection_count:replicate_3:Inhibitory:None,SNAP25,0.0066
infection_count:replicate_3:Inhibitory:None,GRM5,0.006
infection_count:replicate_3:Inhibitory:None,SOX5,0.0057
infection_count:replicate_3:Inhibitory:None,MT2,0.0056
infection_count:replicate_3:Inhibitory:None,CST3,0.005
infection_count:replicate_3:Inhibitory:None,PRKCB,0.0048
infection_count:replicate_3:Inhibitory:None,ATP1B1,0.0048
infection_count:replicate_3:Inhibitory:None,SELENOM,0.0046
infection_count:replicate_3:Inhibitory:None,CTSB,0.0044
infection_count:replicate_3:Inhibitory:None,PLCB1,0.0042
