Category,Feature,Importance
infection_count:None:None:None,PRICKLE2,0.531
infection_count:None:None:None,TTR,0.4021
infection_count:None:None:None,HBA-A1,0.0659
infection_count:None:None:None,CCNB2,0.0005
infection_count:None:None:None,CCND1,0.0005
infection_count:DLPN:None:None,DBI,0.4639
infection_count:DLPN:None:None,HMGB2,0.269
infection_count:DLPN:None:None,FABP7,0.1203
infection_count:DLPN:None:None,RPL21,0.0526
infection_count:DLPN:None:None,VIM,0.0421
infection_count:DLPN:None:None,TTR,0.0252
infection_count:DLPN:None:None,FRMD4A,0.0109
infection_count:DLPN:None:None,HBA-A1,0.0081
infection_count:DLPN:None:None,PANTR1,0.0079
infection_count:ULPN:None:None,NRG3,0.7428
infection_count:ULPN:None:None,TTR,0.1457
infection_count:ULPN:None:None,LRFN5,0.0565
infection_count:ULPN:None:None,DYNC1I1,0.0246
infection_count:ULPN:None:None,LDB2,0.0211
infection_count:ULPN:None:None,HMGB2,0.0092
infection_count:IN MGE:None:None,TTR,0.4488
infection_count:IN MGE:None:None,NRG3,0.1827
infection_count:IN MGE:None:None,SOX1OT,0.1119
infection_count:IN MGE:None:None,FABP7,0.0645
infection_count:IN MGE:None:None,ZBTB20,0.0473
infection_count:IN MGE:None:None,ADGRB3,0.0428
infection_count:IN MGE:None:None,SYN2,0.0226
infection_count:IN MGE:None:None,DBI,0.0202
infection_count:IN MGE:None:None,THBS1,0.0103
infection_count:IN MGE:None:None,4930509J09RIK,0.0102
infection_count:IN MGE:None:None,SEMA6D,0.0085
infection_count:IN MGE:None:None,TAFA2,0.0081
infection_count:IN MGE:None:None,DPYD,0.0041
infection_count:IN MGE:None:None,CACNA2D3,0.0031
infection_count:IN MGE:None:None,CDH8,0.0031
infection_count:IN MGE:None:None,CCND2,0.003
infection_count:IN MGE:None:None,1700110K17RIK,0.0024
infection_count:IN MGE:None:None,GM11099,0.0021
infection_count:IN MGE:None:None,PDE3A,0.0011
infection_count:IN MGE:None:None,MT1,0.0011
infection_count:IN MGE:None:None,BMPER,0.0011
infection_count:IN MGE:None:None,NPAS1,0.001
infection_count:Apical progenitors:None:None,TTR,0.7603
infection_count:Apical progenitors:None:None,E130114P18RIK,0.0876
infection_count:Apical progenitors:None:None,MSX1,0.0871
infection_count:Apical progenitors:None:None,IL1RAPL1,0.0319
infection_count:Apical progenitors:None:None,MEST,0.0115
infection_count:Apical progenitors:None:None,ATP1A2,0.0048
infection_count:Apical progenitors:None:None,SPHKAP,0.0045
infection_count:Apical progenitors:None:None,KNTC1,0.004
infection_count:Apical progenitors:None:None,DLX1,0.0034
infection_count:Apical progenitors:None:None,FIGN,0.0026
infection_count:Apical progenitors:None:None,SYNDIG1,0.0009
infection_count:Apical progenitors:None:None,EGFLAM,0.0008
infection_count:Apical progenitors:None:None,SATB2,0.0006
infection_count:IPC:None:None,LSAMP,0.5571
infection_count:IPC:None:None,NDN,0.1938
infection_count:IPC:None:None,CACNA2D3,0.1538
infection_count:IPC:None:None,ZFHX3,0.0446
infection_count:IPC:None:None,GM38604,0.0115
infection_count:IPC:None:None,TTR,0.0109
infection_count:IPC:None:None,UNC5C,0.0103
infection_count:IPC:None:None,RBFOX1,0.0102
infection_count:IPC:None:None,ADGRV1,0.0078
infection_count:Migrating neurons:None:None,PCP4,0.3792
infection_count:Migrating neurons:None:None,HS3ST4,0.151
infection_count:Migrating neurons:None:None,CDK14,0.1223
infection_count:Migrating neurons:None:None,GRM5,0.0933
infection_count:Migrating neurons:None:None,PLXNA4,0.0721
infection_count:Migrating neurons:None:None,RGS6,0.032
infection_count:Migrating neurons:None:None,NRG3,0.0223
infection_count:Migrating neurons:None:None,CYP26B1,0.0178
infection_count:Migrating neurons:None:None,PANTR1,0.0177
infection_count:Migrating neurons:None:None,NR2F1,0.0142
infection_count:Migrating neurons:None:None,FABP7,0.0142
infection_count:Migrating neurons:None:None,HS6ST2,0.0119
infection_count:Migrating neurons:None:None,TENM3,0.0107
infection_count:Migrating neurons:None:None,GM43376,0.0094
infection_count:Migrating neurons:None:None,GRB10,0.0057
infection_count:Migrating neurons:None:None,GM15563,0.0053
infection_count:Migrating neurons:None:None,MAFB,0.0051
infection_count:Migrating neurons:None:None,GLRA2,0.0051
infection_count:Migrating neurons:None:None,BIRC5,0.004
infection_count:Migrating neurons:None:None,FXYD5,0.004
infection_count:Migrating neurons:None:None,1700109K24RIK,0.0027
bc1a:None:None:None,PRICKLE2,0.6194
bc1a:None:None:None,TTR,0.332
bc1a:None:None:None,GRM8,0.0487
bc1a:DLPN:None:None,TTR,0.5362
bc1a:DLPN:None:None,HMGB2,0.0962
bc1a:DLPN:None:None,TRPM3,0.0936
bc1a:DLPN:None:None,KCNIP1,0.0638
bc1a:DLPN:None:None,CCND2,0.0617
bc1a:DLPN:None:None,DLGAP1,0.0423
bc1a:DLPN:None:None,H2AFZ,0.0338
bc1a:DLPN:None:None,PANTR1,0.0191
bc1a:DLPN:None:None,NNAT,0.0179
bc1a:DLPN:None:None,GM43376,0.0123
bc1a:DLPN:None:None,STXBP6,0.0077
bc1a:DLPN:None:None,XKR4,0.0062
bc1a:DLPN:None:None,DPP6,0.0056
bc1a:DLPN:None:None,HEXB,0.0035
bc1a:ULPN:None:None,LRFN5,0.4533
bc1a:ULPN:None:None,NRG3,0.3831
bc1a:ULPN:None:None,DYNC1I1,0.0565
bc1a:ULPN:None:None,RSPO3,0.0404
bc1a:ULPN:None:None,TTR,0.033
bc1a:ULPN:None:None,GRM8,0.0101
bc1a:ULPN:None:None,SLC6A15,0.0093
bc1a:ULPN:None:None,LDB2,0.0067
