Category,Feature,Importance
infection_count:None:None:None,DYNLL1,0.7591
infection_count:None:None:None,CST3,0.1215
infection_count:None:None:None,STMN3,0.0586
infection_count:None:None:None,GAP43,0.049
infection_count:None:None:None,TUBA1B,0.0118
infection_count:Replicate_1:None:None,DYNLL1,0.8808
infection_count:Replicate_1:None:None,CTSL,0.0617
infection_count:Replicate_1:None:None,TMEM59L,0.0234
infection_count:Replicate_1:None:None,RGS4,0.0055
infection_count:Replicate_1:None:None,CAMK2N1,0.0049
infection_count:Replicate_1:None:None,CALB1,0.004
infection_count:Replicate_1:None:None,LDHB,0.004
infection_count:Replicate_1:None:None,CKB,0.004
infection_count:Replicate_1:None:None,STXBP6,0.002
infection_count:Replicate_1:None:None,TUBA1B,0.002
infection_count:Replicate_1:None:None,MGST3,0.002
infection_count:Replicate_1:None:None,PLCB1,0.0011
infection_count:Replicate_1:None:None,MAP1B,0.0011
infection_count:Replicate_1:None:None,SPOCK3,0.001
infection_count:Replicate_1:None:None,HIST1H2BC,0.001
infection_count:Replicate_1:None:None,ATP1B1,0.0009
infection_count:Replicate_1:None:None,GM37913,0.0004
infection_count:Replicate_1:None:None,STMN2,0.0002
infection_count:Replicate_1:Astrocyte:None,DYNLL1,0.7331
infection_count:Replicate_1:Astrocyte:None,RMRP,0.1025
infection_count:Replicate_1:Astrocyte:None,GM37913,0.091
infection_count:Replicate_1:Astrocyte:None,DDIT3,0.0056
infection_count:Replicate_1:Astrocyte:None,ALDH7A1,0.0047
infection_count:Replicate_1:Astrocyte:None,FGFRL1,0.0045
infection_count:Replicate_1:Astrocyte:None,RIAN,0.0044
infection_count:Replicate_1:Astrocyte:None,CHGA,0.0043
infection_count:Replicate_1:Astrocyte:None,SYT4,0.0042
infection_count:Replicate_1:Astrocyte:None,SESN2,0.0041
infection_count:Replicate_1:Astrocyte:None,LMO1,0.0039
infection_count:Replicate_1:Astrocyte:None,GDA,0.0039
infection_count:Replicate_1:Astrocyte:None,LPPR4,0.0037
infection_count:Replicate_1:Astrocyte:None,SLCO1C1,0.0036
infection_count:Replicate_1:Astrocyte:None,SEPP1,0.0036
infection_count:Replicate_1:Astrocyte:None,NR4A2,0.0032
infection_count:Replicate_1:Astrocyte:None,PTTG1,0.0031
infection_count:Replicate_1:Astrocyte:None,ECI2,0.0031
infection_count:Replicate_1:Astrocyte:None,RPGRIP1,0.0028
infection_count:Replicate_1:Astrocyte:None,TEAD2,0.0024
infection_count:Replicate_1:Astrocyte:None,WDR76,0.0024
infection_count:Replicate_1:Astrocyte:None,DHRS3,0.0019
infection_count:Replicate_1:Astrocyte:None,S100A10,0.0015
infection_count:Replicate_1:Astrocyte:None,ALDH2,0.0013
infection_count:Replicate_1:Astrocyte:None,FBLN2,0.001
infection_count:Replicate_1:Glutamatergic_Neuron:None,DYNLL1,0.8391
infection_count:Replicate_1:Glutamatergic_Neuron:None,CTSL,0.1021
infection_count:Replicate_1:Glutamatergic_Neuron:None,TMEM59L,0.0138
infection_count:Replicate_1:Glutamatergic_Neuron:None,LDHB,0.0071
infection_count:Replicate_1:Glutamatergic_Neuron:None,MGST3,0.0067
infection_count:Replicate_1:Glutamatergic_Neuron:None,SCG5,0.0067
infection_count:Replicate_1:Glutamatergic_Neuron:None,LDHA,0.0066
infection_count:Replicate_1:Glutamatergic_Neuron:None,CKB,0.0064
infection_count:Replicate_1:Glutamatergic_Neuron:None,1500012F01RIK,0.0032
infection_count:Replicate_1:Glutamatergic_Neuron:None,GM37913,0.0017
infection_count:Replicate_1:Glutamatergic_Neuron:None,RP24-324L19.4,0.0015
infection_count:Replicate_1:Glutamatergic_Neuron:None,HIST1H4H,0.0009
infection_count:Replicate_1:Glutamatergic_Neuron:None,PPP1R16B,0.0009
infection_count:Replicate_1:Glutamatergic_Neuron:None,HTRA3,0.0007
infection_count:Replicate_1:Glutamatergic_Neuron:None,GM11974,0.0007
infection_count:Replicate_1:Glutamatergic_Neuron:None,CREB5,0.0006
infection_count:Replicate_1:Glutamatergic_Neuron:None,TGFBI,0.0006
infection_count:Replicate_1:Glutamatergic_Neuron:None,HIST1H1C,0.0004
infection_count:Replicate_1:Glutamatergic_Neuron:None,DYNLL2,0.0004
infection_count:Replicate_1:Interneuron:None,DYNLL1,0.2955
infection_count:Replicate_1:Interneuron:None,FBXO2,0.0852
infection_count:Replicate_1:Interneuron:None,GSTM5,0.0838
infection_count:Replicate_1:Interneuron:None,MGST3,0.0726
infection_count:Replicate_1:Interneuron:None,CTSL,0.0666
infection_count:Replicate_1:Interneuron:None,SST,0.0593
infection_count:Replicate_1:Interneuron:None,SPARC,0.0463
infection_count:Replicate_1:Interneuron:None,GPX3,0.0424
infection_count:Replicate_1:Interneuron:None,SNCA,0.0408
infection_count:Replicate_1:Interneuron:None,DYNLL2,0.0371
infection_count:Replicate_1:Interneuron:None,ATP5L,0.0353
infection_count:Replicate_1:Interneuron:None,RBP4,0.0186
infection_count:Replicate_1:Interneuron:None,TMEM59L,0.0136
infection_count:Replicate_1:Interneuron:None,TUBA1B,0.0122
infection_count:Replicate_1:Interneuron:None,PAM,0.0107
infection_count:Replicate_1:Interneuron:None,CLASP2,0.0096
infection_count:Replicate_1:Interneuron:None,SERINC5,0.0095
infection_count:Replicate_1:Interneuron:None,NPY,0.0086
infection_count:Replicate_1:Interneuron:None,RAMP1,0.0084
infection_count:Replicate_1:Interneuron:None,JUN,0.0079
infection_count:Replicate_1:Interneuron:None,CNR1,0.0078
infection_count:Replicate_1:Interneuron:None,BHLHE22,0.0075
infection_count:Replicate_1:Interneuron:None,CLIC1,0.0073
infection_count:Replicate_1:Interneuron:None,TMEM158,0.004
infection_count:Replicate_1:Interneuron:None,MARF1,0.0028
infection_count:Replicate_1:Interneuron:None,SPRY2,0.0025
infection_count:Replicate_1:Interneuron:None,RPGRIP1,0.0024
infection_count:Replicate_1:Interneuron:None,GLUD1,0.0008
infection_count:Replicate_1:Interneuron:None,ETFA,0.0008
infection_count:Replicate_2:None:None,DYNLL1,0.8034
infection_count:Replicate_2:None:None,STMN4,0.0859
infection_count:Replicate_2:None:None,MGST3,0.064
infection_count:Replicate_2:None:None,ATP1B1,0.0105
infection_count:Replicate_2:None:None,MPC1,0.0082
infection_count:Replicate_2:None:None,STMN3,0.0079
infection_count:Replicate_2:None:None,GAP43,0.0071
infection_count:Replicate_2:None:None,GM10053,0.0053
infection_count:Replicate_2:None:None,RAMP1,0.0032
