Category,Feature,Importance
infection_count:None:None:None,FAM81A,0.8233
infection_count:None:None:None,EVA1A,0.0667
infection_count:None:None:None,MMD2,0.058
infection_count:None:None:None,PAQR8,0.023
infection_count:None:None:None,ATXN1,0.0188
infection_count:None:None:None,LMO4,0.0078
infection_count:None:None:None,NUDC,0.0024
infection_count:Excitatory:None:None,SH3BGRL3,0.5054
infection_count:Excitatory:None:None,H2AZ1,0.0847
infection_count:Excitatory:None:None,NUDT4,0.0807
infection_count:Excitatory:None:None,CAMK2N1,0.0497
infection_count:Excitatory:None:None,FAM81A,0.0396
infection_count:Excitatory:None:None,GM2897,0.0388
infection_count:Excitatory:None:None,PRDX1,0.0349
infection_count:Excitatory:None:None,VSTM2L,0.0141
infection_count:Excitatory:None:None,CHST2,0.0087
infection_count:Excitatory:None:None,REM2,0.0084
infection_count:Excitatory:None:None,YPEL2,0.0071
infection_count:Excitatory:None:None,GOLGA7B,0.0068
infection_count:Excitatory:None:None,TUBA1B,0.0065
infection_count:Excitatory:None:None,CDH18,0.0062
infection_count:Excitatory:None:None,TRPC4,0.0062
infection_count:Excitatory:None:None,MT3,0.0061
infection_count:Excitatory:None:None,CPE,0.0061
infection_count:Excitatory:None:None,LRP1B,0.006
infection_count:Excitatory:None:None,CDH9,0.0059
infection_count:Excitatory:None:None,USP29,0.0057
infection_count:Excitatory:None:None,HMGN2,0.0055
infection_count:Excitatory:None:None,TCEAL5,0.0054
infection_count:Excitatory:None:None,PLCB1,0.0053
infection_count:Excitatory:None:None,E230029C05RIK,0.0052
infection_count:Excitatory:None:None,CDH13,0.005
infection_count:Excitatory:None:None,UNC5C,0.005
infection_count:Excitatory:None:None,CRIP2,0.0049
infection_count:Excitatory:None:None,KIF26B,0.0048
infection_count:Excitatory:None:None,DNAJC15,0.0047
infection_count:Excitatory:None:None,FBXO41,0.0047
infection_count:Excitatory:None:None,TMEM117,0.0046
infection_count:Excitatory:None:None,DNAI1,0.0045
infection_count:Excitatory:None:None,ZEB2,0.0045
infection_count:Excitatory:None:None,ZFP804A,0.0043
infection_count:Excitatory:None:None,GM37911,0.0038
infection_count:Inhibitory:None:None,CALM2,0.7639
infection_count:Inhibitory:None:None,MT3,0.0736
infection_count:Inhibitory:None:None,SLC35F4,0.0473
infection_count:Inhibitory:None:None,CKB,0.0387
infection_count:Inhibitory:None:None,NAV2,0.0236
infection_count:Inhibitory:None:None,EPHA3,0.0236
infection_count:Inhibitory:None:None,OPCML,0.0132
infection_count:Inhibitory:None:None,MYO16,0.0109
infection_count:Inhibitory:None:None,PRKCB,0.0051
aav1:None:None:None,FAM81A,0.7647
aav1:None:None:None,IFITM2,0.1519
aav1:None:None:None,PIERCE1,0.0376
aav1:None:None:None,PIFO,0.029
aav1:None:None:None,PIERCE2,0.0044
aav1:None:None:None,MEIG1,0.0043
aav1:None:None:None,CFAP52,0.0041
aav1:None:None:None,DNAH6,0.004
aav1:Excitatory:None:None,SH3BGRL3,0.5365
aav1:Excitatory:None:None,GFAP,0.1721
aav1:Excitatory:None:None,COX6B2,0.087
aav1:Excitatory:None:None,H2AZ1,0.0668
aav1:Excitatory:None:None,CST3,0.0323
aav1:Excitatory:None:None,SNHG12,0.0251
aav1:Excitatory:None:None,KCNJ10,0.0171
aav1:Excitatory:None:None,CPE,0.0121
aav1:Excitatory:None:None,ABCA1,0.0111
aav1:Excitatory:None:None,GNG5,0.0107
aav1:Excitatory:None:None,RAB31,0.0085
aav1:Excitatory:None:None,GM48713,0.0061
aav1:Excitatory:None:None,GM38120,0.0057
aav1:Excitatory:None:None,GM20754,0.0037
aav1:Excitatory:None:None,SLC7A11,0.0032
aav1:Excitatory:None:None,HS3ST5,0.002
aav2:Excitatory:None:None,PTPN5,0.4371
aav2:Excitatory:None:None,ENPP2,0.3163
aav2:Excitatory:None:None,CUX2,0.1326
aav2:Excitatory:None:None,MAGI2,0.0539
aav2:Excitatory:None:None,ITPKA,0.0158
aav2:Excitatory:None:None,AUTS2,0.015
aav2:Excitatory:None:None,EDIL3,0.0145
aav2:Excitatory:None:None,LRRC7,0.0077
aav2:Excitatory:None:None,H3C1,0.0072
aav6:None:None:None,FAM81A,0.7593
aav6:None:None:None,FHAD1,0.1544
aav6:None:None:None,ATXN1,0.0823
aav6:None:None:None,CD24A,0.004
aav6:Excitatory:None:None,CAMK2N1,0.4193
aav6:Excitatory:None:None,S100A10,0.1048
aav6:Excitatory:None:None,PCSK5,0.0913
aav6:Excitatory:None:None,H2AZ1,0.0675
aav6:Excitatory:None:None,TUBA1B,0.0337
aav6:Excitatory:None:None,STXBP5L,0.0303
aav6:Excitatory:None:None,MPPED1,0.0302
aav6:Excitatory:None:None,ZCCHC4,0.0236
aav6:Excitatory:None:None,GM42635,0.0173
aav6:Excitatory:None:None,GM4258,0.0159
aav6:Excitatory:None:None,NDST4,0.0155
aav6:Excitatory:None:None,FUT9,0.0126
aav6:Excitatory:None:None,TMEM132D,0.0123
aav6:Excitatory:None:None,GM48091,0.0116
aav6:Excitatory:None:None,VSTM2A,0.0108
aav6:Excitatory:None:None,PRICKLE1,0.01
aav6:Excitatory:None:None,TUBA4A,0.0095
aav6:Excitatory:None:None,FAM241B,0.0091
aav6:Excitatory:None:None,FAT3,0.009
aav6:Excitatory:None:None,ZFP146,0.0089
aav6:Excitatory:None:None,HPCA,0.0088
aav6:Excitatory:None:None,GM37333,0.008
aav6:Excitatory:None:None,RGS8,0.0076
aav6:Excitatory:None:None,GM42943,0.0074
aav6:Excitatory:None:None,FGD5,0.0071
