Annotation,cell_class,Max_TopStruct,NT_binary,Meta_Class,Annotation Reduced,Anno + Topstruct,Anno + Topstruct + Layer
Ex_Ebf2_Prox1_Pou4f3,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Ebf2_Prox1_Pou4f3,Ex_Ebf2_Prox1_Pou4f3_MB,Ex_Ebf2_Prox1_Pou4f3_MB
Ex_Ebf2_Bmp6,neuron,MB,VGLUT2,MC_200:PAG and SCm neurons,Ex_Ebf2_Bmp6,Ex_Ebf2_Bmp6_MB,Ex_Ebf2_Bmp6_MB
Ex_Ebf2_Gpsm3_1,neuron,MB,VGLUT2,MC_200:PAG and SCm neurons,Ex_Ebf2_Gpsm3,Ex_Ebf2_Gpsm3_MB,Ex_Ebf2_Gpsm3_MB
Ex_Ebf2_Gpsm3_2,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Ebf2_Gpsm3,Ex_Ebf2_Gpsm3_MB,Ex_Ebf2_Gpsm3_MB
Ex_Defb1_Gsta2_1,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Defb1_Gsta2,Ex_Defb1_Gsta2_MB,Ex_Defb1_Gsta2_MB
Ex_Defb1_Gsta2_2,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Defb1_Gsta2,Ex_Defb1_Gsta2_MB,Ex_Defb1_Gsta2_MB
Ex_Defb1_Bhlhe23_1,neuron,MB,VGLUT2,MC_205:Tegmental neurons,Ex_Defb1_Bhlhe23,Ex_Defb1_Bhlhe23_MB,Ex_Defb1_Bhlhe23_MB
Ex_Ebf2_Bhlhe23,neuron,MB,VGLUT2,MC_205:Tegmental neurons,Ex_Ebf2_Bhlhe23,Ex_Ebf2_Bhlhe23_MB,Ex_Ebf2_Bhlhe23_MB
Ex_Prox1_Bhlhe23_1,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Prox1_Bhlhe23,Ex_Prox1_Bhlhe23_MB,Ex_Prox1_Bhlhe23_MB
Ex_Prox1_Bhlhe23_2,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Prox1_Bhlhe23,Ex_Prox1_Bhlhe23_MB,Ex_Prox1_Bhlhe23_MB
Ex_Prox1_Bhlhe23_3,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Prox1_Bhlhe23,Ex_Prox1_Bhlhe23_MB,Ex_Prox1_Bhlhe23_MB
Ex_Prox1_Ltbp1,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Prox1_Ltbp1,Ex_Prox1_Ltbp1_MB,Ex_Prox1_Ltbp1_MB
Ex_Zic1_Bhlhe23,neuron,MB,VGLUT2,MC_209:Tectal neurons,Ex_Zic1_Bhlhe23,Ex_Zic1_Bhlhe23_MB,Ex_Zic1_Bhlhe23_MB
Ex_Pax6_Pappa2_1,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pax6_Pappa2,Ex_Pax6_Pappa2_MB,Ex_Pax6_Pappa2_MB
Ex_Pax6_Pappa2_2,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pax6_Pappa2,Ex_Pax6_Pappa2_MB,Ex_Pax6_Pappa2_MB
Ex_Pax6_Pappa2_3,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pax6_Pappa2,Ex_Pax6_Pappa2_MB,Ex_Pax6_Pappa2_MB
Ex_Pax6_Gna14_1,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pax6_Gna14,Ex_Pax6_Gna14_MB,Ex_Pax6_Gna14_MB
Ex_Pax6_Gna14_2,neuron,MB,VGLUT2,MC_201:PAG and SCm neurons,Ex_Pax6_Gna14,Ex_Pax6_Gna14_MB,Ex_Pax6_Gna14_MB
Ex_Sim1_Asb4,neuron,MB,VGLUT2,MC_188:Hypothalamic and tegmental neurons,Ex_Sim1_Asb4,Ex_Sim1_Asb4_MB,Ex_Sim1_Asb4_MB
Ex_Sim1_Kynu,neuron,MB,VGLUT2,MC_188:Hypothalamic and tegmental neurons,Ex_Sim1_Kynu,Ex_Sim1_Kynu_MB,Ex_Sim1_Kynu_MB
Ex_Lmx1a_Agtr1b,neuron,MB,VGLUT2,MC_188:Hypothalamic and tegmental neurons,Ex_Lmx1a_Agtr1b,Ex_Lmx1a_Agtr1b_MB,Ex_Lmx1a_Agtr1b_MB
Ex_Lmx1a_Tinag,neuron,MB,VGLUT2,MC_188:Hypothalamic and tegmental neurons,Ex_Lmx1a_Tinag,Ex_Lmx1a_Tinag_MB,Ex_Lmx1a_Tinag_MB
Ex_Sim1_Pitx2_1,neuron,MB,VGLUT2,MC_195:Tegmental neurons,Ex_Sim1_Pitx2,Ex_Sim1_Pitx2_MB,Ex_Sim1_Pitx2_MB
Ex_Sim1_Pitx2_2,neuron,MB,VGLUT2,MC_195:Tegmental neurons,Ex_Sim1_Pitx2,Ex_Sim1_Pitx2_MB,Ex_Sim1_Pitx2_MB
Ex_Sim1_Pitx2_3,neuron,MB,VGLUT2,MC_195:Tegmental neurons,Ex_Sim1_Pitx2,Ex_Sim1_Pitx2_MB,Ex_Sim1_Pitx2_MB
Inh_Tbx3_Crabp1,neuron,MB,GABA,MC_83:Hypothalamic and pallidal neurons,Inh_Tbx3_Crabp1,Inh_Tbx3_Crabp1_MB,Inh_Tbx3_Crabp1_MB
Ex_Vsx2_Pitx2,neuron,MB,VGLUT2,MC_154:Midbrain and pontine neurons,Ex_Vsx2_Pitx2,Ex_Vsx2_Pitx2_MB,Ex_Vsx2_Pitx2_MB
Ex_Vsx2_Galr1,neuron,MB,VGLUT2,MC_154:Midbrain and pontine neurons,Ex_Vsx2_Galr1,Ex_Vsx2_Galr1_MB,Ex_Vsx2_Galr1_MB
Ex_Vsx2_C1ql4,neuron,MB,VGLUT2,MC_155:Pontine and medullary reticular neurons,Ex_Vsx2_C1ql4,Ex_Vsx2_C1ql4_MB,Ex_Vsx2_C1ql4_MB
Ex_Vsx2_Sox1,neuron,,VGLUT2,MC_198:Brainstem neurons,Ex_Vsx2_Sox1,Ex_Vsx2_Sox1,Ex_Vsx2_Sox1
Inh_Pax3_Zic1_1,neuron,MB,GABA,MC_96:Midbrain neurons,Inh_Pax3_Zic1,Inh_Pax3_Zic1_MB,Inh_Pax3_Zic1_MB
Inh_Pax3_Zic1_2,neuron,MB,GABA,MC_96:Midbrain neurons,Inh_Pax3_Zic1,Inh_Pax3_Zic1_MB,Inh_Pax3_Zic1_MB
Ex_Tcf7l2_Prokr2,neuron,MB,VGLUT2,MC_214:Lateral habenular neurons,Ex_Tcf7l2_Prokr2,Ex_Tcf7l2_Prokr2_MB,Ex_Tcf7l2_Prokr2_MB
Ex_Sox6_Twist1,neuron,MB,VGLUT2,MC_214:Lateral habenular neurons,Ex_Sox6_Twist1,Ex_Sox6_Twist1_MB,Ex_Sox6_Twist1_MB
Inh_Zeb2_Crym_1,neuron,MB,GLY,MC_141:Medullary neurons,Inh_Zeb2_Crym,Inh_Zeb2_Crym_MB,Inh_Zeb2_Crym_MB
